vce_school_name,acara_school_name,ACARA SML ID
Academy of Mary Immaculate,Academy of Mary Immaculate,45704
Adass Israel School,Adass Israel School,46213
Advance College of Education,Advance College of Education Incorporated,52378
Advance Community College,Advance College of Education Incorporated,52378
Advance TAFE,,
School is closed,,
Aitken College,Aitken College,46353
Al Iman College,Al Iman College,52380
Al Siraat College,Al Siraat College,46390
Al-Taqwa College,Al-Taqwa College,46309
Albert Park College,Albert Park College,50267
Albury Wodonga Comm College,Indie School Wodonga,43720
Alexandra Secondary College,Alexandra Secondary College,45349
Alia College,Alia College,46354
Alice Miller School,Alice Miller School,52381
Alkira Secondary College,Alkira Secondary College,45604
Alphington Grammar School,Alphington Grammar School,46316
Altona College,Altona College,45587
Antonine College,Antonine College,46112
Apollo Bay P-12 College,Apollo Bay P-12 College,45292
Aquinas College,Aquinas College,45947
Ararat Secondary College,Ararat Secondary College,45523
Armstrong Creek School,Armstrong Creek School,52589
Ashwood High School,Ashwood High School,45518
Ashwood Secondary College,Ashwood High School,45518
Assumption College,Assumption College,45647
Auburn High School,Auburn High School,50684
Australian Internatl Academy,Australian International Academy of Education,46297
Ave Maria College,Ave Maria College,45958
Avila College,Avila College,45976
Bacchus Marsh College,Bacchus Marsh College,45525
Bacchus Marsh Grammar,Bacchus Marsh Grammar,46314
Baimbridge College,Baimbridge College,45552
Bairnsdale Secondary College,Bairnsdale Secondary College,45489
Balcombe Grammar School,Balcombe Grammar School,46383
Ballarat Christian College,Ballarat Christian College,46384
Ballarat Clarendon College,Ballarat Clarendon College,46146
Ballarat Grammar,Ballarat Grammar,46166
Ballarat High School,Ballarat High School,45350
Ballarat SC - Mount Rowan,Mount Rowan Secondary College,45565
Ballarat SC - Woodmans Hill,Woodmans Hill Secondary College,52702
Ballarat Secondary College,,
Ballarat Secondary College - Mount Rowan Campus,Mount Rowan Secondary College,45565
Ballarat Secondary College - Woodmans Hill Campus,Woodmans Hill Secondary College,52702
Balmoral K-12 Comm College,Balmoral K-12 Community College,45602
Balwyn High School,Balwyn High School,45351
Bannockburn P-12 College,Bannockburn P-12 College,44168
Bass Coast College,Bass Coast College,40597
Bayside Christian College,Bayside Christian College,46271
Bayside P-12 College,Bayside P-12 College,45538
Bayswater Secondary College,Bayswater Secondary College,45352
Bayview College,Bayview College,46161
Beaconhills College,Beaconhills College,46282
Beaufort Secondary College,Beaufort Secondary College,45353
Beaumaris Secondary College,Beaumaris Secondary College,52592
Beechworth Secondary College,Beechworth Secondary College,45354
Belgrave Heights Christian Schl,Belgrave Heights Christian School,46286
Bellarine Secondary College,Bellarine Secondary College,45456
Belmont High School,Belmont High School,45355
Benalla P-12 College,Benalla P-12 College,50569
Bendigo Senior Sec College,Bendigo Senior Secondary College,40576
Bendigo South East 7-10 SC,Bendigo South East 7-10 Secondary College,45387
Bendigo TAFE,,
Bentleigh Secondary College,Bentleigh Secondary College,45338
Berry Street Victoria,Berry Street School,46375
Berwick Grammar School,St Margaret's Berwick Grammar,46203
Berwick Secondary College,Berwick Secondary College,45356
Beth Rivkah Ladies College,Beth Rivkah Ladies College,46216
Bialik College,Bialik College,46221
Billanook College,Billanook College,46264
Birchip P-12 School,Birchip P-12 School,45568
Blackburn High School,Blackburn High School,45357
Boort District P-12 School,Boort District P-12 School,50271
Boronia K-12 College,Boronia K-12 College,44703
Box Hill High School,Box Hill High School,45359
Box Hill Institute,,
Box Hill Institute - CAE campus,,
Box Hill Senior Sec College,Box Hill Senior Secondary College,45326
Braemar College,Braemar College,46238
Brauer College,Brauer Secondary College,45345
Braybrook College,Braybrook College,45360
Brentwood Secondary College,Brentwood Secondary College,45361
Bright P-12 College,Bright P-12 College,44140
Brighton Grammar School,Brighton Grammar School,46200
Brighton Secondary College,Brighton Secondary College,45362
Broadford Secondary College,Broadford Secondary College,45363
Brunswick Secondary College,Brunswick Secondary College,45545
Buckley Park College,Buckley Park College,45364
Bundoora Secondary College,Bundoora Secondary College,45395
Camberwell Anglican Girls GS,Camberwell Girls Grammar School,46204
Camberwell Grammar School,Camberwell Grammar School,46199
Camberwell High School,Camberwell High School,45365
Camperdown College,Camperdown College,45319
Cann River P-12 College,Cann River P-12 College,44670
Canterbury Girls Sec College,Canterbury Girls Secondary College,45366
Carey Baptist Grammar School,Carey Baptist Grammar School,46186
Caroline Chisholm Catholic Coll,Caroline Chisholm Catholic College,40900
Caroline Chisholm Catholic College,Caroline Chisholm Catholic College,40900
Carrum Downs Sec College,Carrum Downs Secondary College,45482
Carwatha College P-12,Carwatha College P-12,45225
Casey Grammar School,Casey Grammar School,46326
Casterton Secondary College,Casterton Secondary College,45367
Castlemaine Secondary College,Castlemaine Secondary College,45561
Cathedral College,Cathedral College Wangaratta,46373
Catherine McAuley College,Catherine McAuley College,40412
Catholic College Bendigo,Catherine McAuley College,40412
Catholic College Sale,Catholic College Sale,45737
Catholic College Wodonga,Catholic College Wodonga,46043
Catholic Ladies College,Catholic Ladies' College Ltd,45726
Catholic Regional College,Catholic Regional College Caroline Springs,46121
Caulfield Grammar School,Caulfield Grammar School,46139
Caulfield Park Comm School,Oakwood School,45468
Central Gippsland Inst of TAFE,,
Centre for Adult Education,,
Chaffey Secondary College,Chaffey Secondary College,45337
Chairo Christian School,Chairo Christian School,46295
Charles La Trobe P-12 College,Charles La Trobe P-12 College,45616
Charlton College,Charlton College,45566
Cheltenham Secondary College,Cheltenham Secondary College,45368
Chisholm Institute,,
Chisholm Institute of TAFE,,
