School,ACARA SML ID,year,Locality,Median VCE study score,Percentage of study scores of 40 and over,Percentage of VCE students applying for tertiary places,Percentage of satisfactory VCE completions,ICSEA,School Sector,School Type,Total Enrolments,Latitude,Longitude
Academy of Mary Immaculate,45704.0,2014,FITZROY,32.0,8.4,92.0,97.0,1059.0,Catholic,Secondary,623.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2015,FITZROY,32.0,11.7,93.0,100.0,1063.0,Catholic,Secondary,603.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2016,FITZROY,30.0,6.2,96.0,100.0,1065.0,Catholic,Secondary,608.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2017,FITZROY,31.0,12.4,94.0,96.0,1075.0,Catholic,Secondary,622.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2018,FITZROY,31.0,7.1,95.8,100.0,1078.0,Catholic,Secondary,626.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2019,FITZROY,31.0,7.0,94.8,100.0,1084.0,Catholic,Secondary,629.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2020,FITZROY,30.0,5.2,95.7,100.0,1083.0,Catholic,Secondary,670.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2021,FITZROY,30.0,6.5,94.0,100.0,1081.0,Catholic,Secondary,697.0,-37.803711,144.974409
Academy of Mary Immaculate,45704.0,2022,FITZROY,32.0,7.0,94.9,100.0,1079.0,Catholic,Secondary,679.0,-37.803711,144.974409
Academy of Mary Immaculate,,2023,FITZROY,31.0,10.3,93.8,99.0,,,,,,
Adass Israel School,46213.0,2014,ELSTERNWICK,,,,,947.0,Independent,Combined,503.0,-37.883899,145.008205
Adass Israel School,46213.0,2015,ELSTERNWICK,,,,,939.0,Independent,Combined,514.0,-37.883899,145.008205
Adass Israel School,46213.0,2016,ELSTERNWICK,,,,,944.0,Independent,Combined,512.0,-37.883899,145.008205
Adass Israel School,46213.0,2017,ELSTERNWICK,,,,,939.0,Independent,Combined,499.0,-37.883899,145.008205
Adass Israel School,46213.0,2018,ELSTERNWICK,,,,,946.0,Independent,Combined,478.0,-37.883899,145.008205
Adass Israel School,46213.0,2019,ELSTERNWICK,,,,,938.0,Independent,Combined,450.0,-37.883899,145.008205
Adass Israel School,46213.0,2020,ELSTERNWICK,,,,,938.0,Independent,Combined,450.0,-37.883899,145.008205
Adass Israel School,46213.0,2020,EAST ST KILDA,,,,,938.0,Independent,Combined,450.0,-37.883899,145.008205
Adass Israel School,46213.0,2021,ELSTERNWICK,,,,,943.0,Independent,Combined,437.0,-37.883899,145.008205
Adass Israel School,46213.0,2021,EAST ST KILDA,,,,,943.0,Independent,Combined,437.0,-37.883899,145.008205
Adass Israel School,46213.0,2022,ELSTERNWICK,,,,,928.0,Independent,Combined,418.0,-37.883899,145.008205
Adass Israel School,46213.0,2022,EAST ST KILDA,,,,,928.0,Independent,Combined,418.0,-37.883899,145.008205
Adass Israel School,,2023,ELSTERNWICK,,,,100.0,,,,,,
Adass Israel School,,2023,EAST ST KILDA,,,,,,,,,,
Advance College of Education,52378.0,2017,ROSEBUD WEST,,,,,,Independent,Special,66.0,-38.382705,144.885067
Advance College of Education,52378.0,2018,ROSEBUD WEST,,,,,,Independent,Special,48.0,-38.382705,144.885067
Advance College of Education,52378.0,2019,ROSEBUD WEST,,,,,,Independent,Special,47.0,-38.382705,144.885067
Advance College of Education,52378.0,2020,ROSEBUD WEST,,,,,,Independent,Special,54.0,-38.382705,144.885067
Advance College of Education,52378.0,2021,ROSEBUD WEST,,,,,978.0,Independent,Special,52.0,-38.382705,144.885067
Advance College of Education,52378.0,2022,ROSEBUD WEST,,,,,934.0,Independent,Special,63.0,-38.382705,144.885067
Advance College of Education,,2023,ROSEBUD WEST,,,,75.0,,,,,,
Advance Community College,45223.0,2016,ROSEBUD WEST,,,,,1000.0,Government,Combined,120.0,-35.26557452,141.17733647
Aitken College,46353.0,2014,GREENVALE,30.0,5.2,97.0,98.0,1064.0,Independent,Combined,1271.0,-37.627398,144.888422
Aitken College,46353.0,2015,GREENVALE,30.0,6.3,92.0,99.0,1067.0,Independent,Combined,1273.0,-37.627398,144.888422
Aitken College,46353.0,2016,GREENVALE,31.0,7.7,94.0,99.0,1068.0,Independent,Combined,1266.0,-37.627398,144.888422
Aitken College,46353.0,2017,GREENVALE,29.0,6.1,95.0,100.0,1069.0,Independent,Combined,1269.0,-37.627398,144.888422
Aitken College,46353.0,2018,GREENVALE,30.0,4.8,89.2,100.0,1073.0,Independent,Combined,1279.0,-37.627398,144.888422
Aitken College,46353.0,2019,GREENVALE,29.0,4.9,91.1,99.0,1079.0,Independent,Combined,1276.0,-37.627398,144.888422
Aitken College,46353.0,2020,GREENVALE,29.0,5.1,87.5,100.0,1079.0,Independent,Combined,1274.0,-37.627398,144.888422
Aitken College,46353.0,2021,GREENVALE,28.0,2.7,94.2,98.0,1085.0,Independent,Combined,1292.0,-37.627398,144.888422
Aitken College,46353.0,2022,GREENVALE,28.0,2.2,91.4,100.0,1091.0,Independent,Combined,1428.0,-37.627398,144.888422
Aitken College,,2023,GREENVALE,28.0,5.6,89.1,99.0,,,,,,
Al Iman College,52380.0,2021,MELTON SOUTH,26.0,3.9,35.7,100.0,1031.0,Independent,Combined,723.0,-37.706956,144.564872
Al Iman College,52380.0,2022,MELTON SOUTH,25.0,0.0,53.8,92.0,1038.0,Independent,Combined,846.0,-37.706956,144.564872
Al Iman College,,2023,MELTON SOUTH,29.0,5.9,82.6,100.0,,,,,,
Al Siraat College,46390.0,2014,EPPING,32.0,0.0,,,982.0,Independent,Combined,409.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2015,EPPING,31.0,13.6,100.0,100.0,992.0,Independent,Combined,510.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2016,EPPING,28.0,0.0,80.0,100.0,1017.0,Independent,Combined,643.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2017,EPPING,25.0,2.2,100.0,100.0,1022.0,Independent,Combined,782.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2018,EPPING,28.0,5.4,100.0,100.0,1009.0,Independent,Combined,943.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2019,EPPING,27.0,1.3,92.9,100.0,1024.0,Independent,Combined,897.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2020,EPPING,28.0,1.7,100.0,100.0,1024.0,Independent,Combined,994.0,-37.62426056,145.03753369
Al Siraat College,46390.0,2021,EPPING,30.0,4.6,95.0,100.0,1042.0,Independent,Combined,1059.0,-37.62426056,145.03753369
